Date,Name,Direction,Tonnage,Type
1853-01-01,Damariscove,Inbound,102.53,Schooner
1853-01-15,Cynosure,Inbound,94.24,Schooner
1852-12-27,Sarah Warren,Inbound,188.03,Bark
1852-11-16,Brontes,Inbound,250.37,Bark
1852-12-20,Merchantman,Inbound,234.12,Brig
--,Wellingely,Inbound,210.23,Brig
1853-02-03,Mary Dare,Inbound,174.64,Brig
--,George Emory,Inbound,178.57,Brig
--,Persia,Inbound,330.84,Ship
1853-01-01,Mary Melville,Inbound,,Bark
1853-01-01,John Adams,Inbound,296.07,Bark
1853-02-10,Justina,Inbound,342.11,Ship
1853-03-13,Cyclops,Inbound,227.21,Brig
1853--,G. W. Kendall,Inbound,183.00,Brig
1853--,Kingsbury,Inbound,195.32,Brig
1853--,Sarah Warren,Inbound,188.02,Bark
1853-06-01,Mary Adams,Inbound,370.75,Bark
1852-08-07,John Davis,Inbound,148.00,Brig
1852-08-01,Jane,Inbound,168.56,Brig
1853-03-29,Jane,Inbound,158.56,Brig
1853-04-16,Cynosure,Inbound,94.24,Schooner
1853-05-25,Alice,Inbound,45.98,Schooner
1853-07-02,Alice,Inbound,45.98,Schooner
1853-04-18,Reverence,Inbound,404.28,Ship
1853--,Mason,Inbound,,Ship
1853-08-16,Jane,Inbound,168.57,Brig
1853--,Persia,Inbound,330.84,Ship
1853-09-11,L. P. Foster ,Inbound,193.55,Schooner
1853-09-27,Anson,Inbound,324.51,Ship
1853-10-14,Alice,Inbound,48.99,Schooner
1853-10-24,Cynosure,Inbound,94.24,Schooner
1853-10-14,Anson,Inbound,324.51,Ship
1853-11-10,Cyrus,Inbound,,Brig
1853-11-10,Sarah Warren,Inbound,,Bark
1853-11-10,Lucas,Inbound,,Ship
1853-11-25,Honolulu Packet,Inbound,92.57,Schooner
1854-01-02,Maid of Jelpha,Inbound,189.00,
1854-01-02,Alice,Inbound,48.99,Schooner
1854-01-05,Elvira Harker,Inbound,349.64,
1854-01-12,Alice,Inbound,45.00,Schooner
1853-10-24,Virginia,Inbound,210.32,Brig
1853-11-22,Burnham,Inbound,247.00,Bark
1853-11-25,Otter,Inbound,144.00,Steamer
1854-01-16,Alice,Inbound,45.00,Schooner
1854-01-26,Otter,Inbound,144.00,Steamer
1854-01-27,Ariana,Inbound,266.38,Bark
1854-03-01,Virginia,Inbound,210.32,Brig
1854-02-03,Alice,Inbound,45.00,Schooner
1854-02-03,Otter,Inbound,144.00,Steamer
1854-02-20,William Allen,Inbound,101.08,Schooner
1854-04-01,Alice,Inbound,45.00,Schooner
1854-06-22,Louika,Inbound,282.00,Bark
1854-06-26,H. C. Page,Inbound,42.74,Schooner
1853-09-22,Carib,Inbound,205.08,Bark
1854-04-17,R. B. Potter,Inbound,70.96,Schooner
1854-05-01,Lucas,Inbound,,Ship
1854-06-01,Helen,Inbound,5.00,Sloop
1854-07-05,Senator,Inbound,377.00,Bark
1854-07-11,Kaluna,Inbound,149.68,Schooner
1854-04-26,Nile,Inbound,320.00,Ship
1854-07-15,Helen,Inbound,6.08,Sloop
1854-07-22,H. C. Page,Inbound,42.07,Schooner
1854-08-12,Tarquina,Inbound,210.32,
1854-08-30,Helen,Inbound,6.06,Sloop
1854-09-01,Louika,Inbound,282.00,Bark
1854-09-02,Helen,Inbound,6.06,Sloop
1854-09-09,R. B. Potter,Inbound,70.00,
1854-09-23,Kaluna,Inbound,,Schooner
1854-09-27,Major Tompkins,Inbound,151.00,Steamer
1854-10-27,St. Lawrence,Inbound,523.20,Ship
1854-10-29,Harriet Thompson,Inbound,238.48,
1854-10-,Francisco,Inbound,172.86,Brig
1854-10-02,Carbon,Inbound,299.32,
1854-10-02,Prince Albert,Inbound,347.00,Bark
1854-10-02,Major Tompkins,Inbound,151.00,Bark
1854-10-11,Major Tompkins,Inbound,151.00,Steamer
1854-10-11,Major Tompkins,Inbound,151.00,Steamer
1854-10-24,Helen,Inbound,6.06,Sloop
1854-10-27,St. Lawrence,Inbound,523.20,Ship
1854-10-28,Major Tompkins,Inbound,151.00,Steamer
1854-11-01,Mason,Inbound,293.32,Ship
1854-11-02,Major Tompkins,Inbound,151.00,Steamer
1854-11-15,Major Tompkins,Inbound,151.00,Steamer
1854-11-21,Major Tompkins,Inbound,151.00,Steamer
1854-11-24,Cyrus,Inbound,213.73,Brig
1854-11-24,Rio Grande,Inbound,287.42,Bark
1854-12-17,Major Tompkins,Inbound,151.00,Steamer
1854-12-20,San Diego,Inbound,55.96,Schooner
1854-12-26,Louika,Inbound,282.00,Bark
1854-12-27,Major Tompkins,Inbound,101.00,Steamer
1854-12-30,Nile,Inbound,321.00,Ship
1855-01-01,John N. Gossler,Inbound,504.00,Ship
1855-01-01,Major Tompkins,Inbound,157.00,Steamer
1855-01-05,H. C. Page,Inbound,42.00,Schooner
1855-01-11,Major Tompkins,Inbound,157.00,Steamer
1855-01-11,H. C. Page,Inbound,42.00,Schooner
1855-01-16,Cyrus,Inbound,21.73,Brig
1853-09-27,Anson,Inbound,324.51,Ship
1853-10-10,Alice,Inbound,45.00,Schooner
1853-10-10,Cynosure,Inbound,94.24,Schooner
1853-10-28,Tarquina,Inbound,210.84,Brig
1853-11-11,Cyrus,Inbound,,Brig
1853-11-21,Otter,Inbound,144.00,Steamer
1853-11-23,Ariana,Inbound,266.38,Bark
1853-11-25,Honolulu Packet,Inbound,72.57,Schooner
1853-12-10,Lucas,Inbound,337.00,Ship
1853-12-24,Otter,Inbound,144.00,Steamer
1854-01-02,Maid of Jelpha,Inbound,189.00,Brig
1854-01-02,Alice,Inbound,48.00,Schooner
1854-01-05,Elisa Harbeck,Inbound,349.64,Bark
1854-01-07,Alice,Inbound,48.00,Schooner
1854-01-23,Otter,Inbound,144.00,Steamer
1854-01-25,Allen,Inbound,150.00,Schooner
1854-01-27,Ariana,Inbound,266.38,Bark
1854-02-01,Alice,Inbound,48.00,Schooner
1854-02-04,Otter,Inbound,144.00,Steamer
1854-03-08,Ariana,Inbound,266.38,Bark
1854-03-22,Louika,Inbound,282.00,Bark
1854-03-24,Alice,Inbound,48.00,Schooner
1854-04-10,Nile,Inbound,320.00,Ship
1854-04-25,Sarah Stone,Inbound,7.97,Sloop
1854-06-01,Helen,Inbound,5.00,Sloop
1854-07-05,Senator,Inbound,277.00,Bark
1854-07-11,H. C. Page,Inbound,42.74,Schooner
1854-07-25,Julia Ann,Inbound,372.92,Bark
1854-08-03,Helen,Inbound,5.00,Sloop
1854-08-12,Tarquina,Inbound,210.00,Brig
1854-08-12,Nile,Inbound,329.00,Ship
1854-08-26,J. B. Brown,Inbound,175.00,Brig
1854-09-01,Louika,Inbound,282.00,Bark
1854-09-02,Helen,Inbound,6.06,Sloop
1854-9-[cutoff],R. B. Potter,Inbound,70.00,Schooner
1854-09-09,J. B. Brown,Inbound,175.00,Brig
1854-09-10,H. C. Page,Inbound,,Schooner
1854-09-23,Kaluna,Inbound,,Schooner
1854-09-27,Major Tompkins,Inbound,107.00,Steamer
1854-09-29,Ella Frances,Inbound,322.00,Bark
1854-09-29,Harriet Thompson,Inbound,238.00,
1854-09-29,Francisco,Inbound,172.00,Brig
1854-10-02,Carbon,Inbound,299.32,Brig
1854-10-02,Prince Albert,Inbound,347.00,Bark
1854-10-02,Major Tompkins,Inbound,151.00,Steamer
1854-10-03,Rio Grande,Inbound,287.00,Bark
1854-10-06,Francisco,Inbound,172.00,Brig
1854-10-12,Major Tompkins,Inbound,157.00,Steamer
1854-10-14,Francisco,Inbound,172.00,Brig
1854-10-21,Major Tompkins,Inbound,157.00,Steamer
1854-10-23,Rio Grande,Inbound,284.00,Bark
1854-10-24,Helen,Inbound,495.00,Sloop
1854-10-27,St. Lawrence,Inbound,523.20,Ship
1854-10-28,Major Tompkins,Inbound,157.00,Steamer
1854-11-01,Mason,Inbound,293.32,Ship
1854-11-02,Major Tompkins,Inbound,107.00,Steamer
1854-11-15,Major Tompkins,Inbound,107.00,Steamer
1854-11-21,Major Tompkins,Inbound,107.00,Steamer
1854-11-24,Cyrus,Inbound,213.00,Brig
1854-12-05,Major Tompkins,Inbound,151.00,Steamer
1854-12-07,Live Yankee,Inbound,,Bark
1854-12-08,Major Tompkins,Inbound,151.00,Steamer
1854-12-10,Rio Grande,Inbound,287.00,Bark
1854-12-10,Cyrus,Inbound,213.00,Brig
1854-12-18,Major Tompkins,Inbound,151.00,Steamer
1854-12-19,Major Tompkins,Inbound,151.00,Steamer
1854-12-20,San Diego,Inbound,55.00,Schooner
1854-12-24,Louika,Inbound,282.00,Bark
1854-12-26,Major Tompkins,Inbound,151.00,Steamer
1854-12-30,Nile,Inbound,321.00,Ship
1855-01-01,John N. Gossler,Inbound,504.00,Ship
1855-01-01,Major Tompkins,Inbound,151.00,Steamer
1855-01-05,H. C. Page,Inbound,42.00,Schooner
1855-01-06,Major Tompkins,Inbound,151.00,Steamer
1855-01-11,H. C. Page,Inbound,42.00,Schooner
1855-01-16,Cyrus,Inbound,213.73,Brig
1855-01-19,San Diego,Inbound,55.96,Schooner
1855-01-22,Live Yankee,Inbound,427.89,Bark
1855-01-24,H. C. Page,Inbound,42.00,Schooner
1855-02-03,Major Tompkins,Inbound,151.00,Steamer
1855-02-06,Major Tompkins,Inbound,151.00,Steamer
1855-02-06,Erlian,Inbound,197.00,Brig
1855-02-08,Sarah McFarlane,Inbound,142.00,Brig
1855-02-11,Major Tompkins,Inbound,151.00,Steamer
1855-02-12,H. C. Page,Inbound,42.00,Schooner
1855-02-12,George Emory,Inbound,180.00,Brig
1855-02-19,Kaluna,Inbound,249.69,Schooner
1855-02-19,Louika,Inbound,280.00,Bark
1855-02-20,Nile,Inbound,321.00,Ship
1855-02-20,Beaver,Inbound,207.00,Steamer
1855-02-22,Russell,Inbound,301.47,Bark
1855-03-03,H. C. Page,Inbound,42.00,Schooner
1855-03-08,Erlian,Inbound,197.00,Brig
1855-03-07,John,Inbound,5.89,Schooner
1855-03-11,Daniel Webster,Inbound,25.89,Steamer
1855-03-11,Mary Reed,Inbound,102.00,Schooner
1855-03-15,John N. Gossler,Inbound,51.00,Ship
1855-03-19,Russell,Inbound,301.47,Bark
1855-03-22,H. C. Page,Inbound,42.00,Schooner
1855-03-24,John,Inbound,6.00,Schooner
1855-04-04,H. C. Page,Inbound,42.00,Schooner
1855-04-07,Mary Reed,Inbound,102.00,Schooner
1855-04-10,San Diego,Inbound,55.96,Schooner
1855-04-11,John,Inbound,7.00,Schooner
1855-04-11,A. Y. Trask,Inbound,22.00,Schooner
1855-04-11,Rose,Inbound,200.00,Brig
1855-04-16,L. P. Foster,Inbound,193.55,Schooner
1855-04-24,John,Inbound,8.00,Schooner
1855-04-28,L. P. Foster,Inbound,193.55,Schooner
1855-04-30,Cyrus,Inbound,213.73,Brig
1855-05-01,Samuel Merritt,Inbound,333.71,Bark
1855-05-04,H. C. Page,Inbound,42.00,Schooner
1855-05-05,John,Inbound,8.00,Schooner
1855-05-08,Chalcedoney,Inbound,201.00,Bark
1855-05-12,Madonna,Inbound,260.03,Bark
1855-05-13,Clariff,Inbound,205.00,Bark
1855-05-13,Rose,Inbound,175.00,Brig
1855-05-14,John,Inbound,8.00,Schooner
1855-05-15,Kaluna,Inbound,150.00,Schooner
1855-05-16,A. Y. Trask,Inbound,23.00,Schooner
1855-05-16,R. B. Potter,Inbound,70.96,Schooner
1855-05-21,John,Inbound,8.00,Schooner
1855-05-21,Emilie Parker,Inbound,16.25,Schooner
1855-05-21,San Diego,Inbound,55.00,Schooner
1855-05-21,Otter,Inbound,140.46,Steamer
1855-05-24,Otter,Inbound,140.46,Steamer
1855-05-24,Kaluna,Inbound,150.00,Schooner
1855-05-29,Jane,Inbound,168.64,Brig
1855-06-01,Louika,Inbound,275.00,Bark
1855-06-01,Emilie Parker,Inbound,16.00,Schooner
1855-06-02,Samuel Merritt,Inbound,333.71,Bark
1855-06-03,Juana Guzman,Inbound,472.00,Ship
1855-06-05,Water Lily,Inbound,14.00,Steamer
1855-06-06,John,Inbound,8.00,Schooner
1855-06-11,Mary Reed,Inbound,103.00,Schooner
1855-06-13,Consort,Inbound,225.00,Brig
1855-06-13,Sarah Warren,Inbound,188.00,Bark
1855-06-13,Grecian,Inbound,22.12,Brig
1855-06-14,Otter,Inbound,144.00,Steamer
1855-06-17,Water Lily,Inbound,14.00,Steamer
1855-06-18,Jane,Inbound,168.03,Brig
1855-06-18,George Emerson,Inbound,180.00,Brig
1855-06-18,H. C. Page,Inbound,42.00,Schooner
1855-06-18,R. B. Potter,Inbound,70.96,
1855-06-18,Cyrus,Inbound,213.73,Brig
1855-06-20,John,Inbound,8.00,Schooner
1855-06-22,Otter,Inbound,144.00,Steamer
1855-06-25,H. C. Page,Inbound,42.00,Schooner
1855-06-28,Mary Reed,Inbound,102.00,Schooner
1855-06-28,A. Y. Trask,Inbound,22.00,Schooner
1855-06-29,Brontes,Inbound,250.00,Bark
1855-07-01,Race Hound,Inbound,499.00,Ship
1855-07-02,L. P. Foster,Inbound,193.62,Schooner
1855-07-02,Louika,Inbound,275.00,Bark
1855-07-02,Chalcedoney,Inbound,201.00,Bark
1855-07-03,Willamantie,Inbound,171.00,Schooner
1855-07-07,Ella Frances,Inbound,228.97,Bark
1855-07-11,Coagano,Inbound,199.00,Brig
1855-07-12,R. B. Potter,Inbound,70.96,Schooner
1855-07-12,Madonna,Inbound,260.00,Bark
1855-07-16,L. P. Foster,Inbound,193.55,Schooner
1855-07-16,H. C. Page,Inbound,42.00,Schooner
1855-07-16,Ella Frances,Inbound,328.00,Bark
1855-07-18,Grecian,Inbound,229.00,Brig
1855-07-24,Brontes,Inbound,250.00,Bark
1855-07-24,John,Inbound,8.00,Schooner
1855-07-31,John,Inbound,8.00,Schooner
1855-08-02,Juana Guzman,Inbound,472.00,Ship
1855-08-07,H. C. Page,Inbound,42.00,Schooner
1855-08-09,A. Y. Trask,Inbound,22.00,Schooner
1855-08-09,Kaluna,Inbound,150.00,Schooner
1855-08-09,G. W. Kendall,Inbound,182.00,Brig
1855-08-09,J. B. Brown,Inbound,173.00,Brig
1855-08-10,A. A. Eldridge,Inbound,249.00,Bark
1855-08-13,John,Inbound,8.00,Schooner
1855-08-13,A. Y. Trask,Inbound,22.00,Schooner
1855-08-14,R. B. Potter,Inbound,71.00,Schooner
1855-08-15,Rob Roy,Inbound,44.00,Sloop
1855-08-18,A. A. Eldridge,Inbound,249.00,Bark
1855-08-21,Race Hound,Inbound,499.00,Ship
1855-08-22,Kaluna,Inbound,149.00,Schooner
1855-08-22,S. J. Joseph,Inbound,647.00,Ship
1855-08-26,Hodgden,Inbound,199.00,Brig
1855-08-29,Swiss Boy,Inbound,264.31,Brig
1855-08-30,Cyrus,Inbound,213.65,Brig
1855-08-30,Louisiana,Inbound,284.98,Bark
1855-08-30,Glencoe,Inbound,222.00,Brig
1855-09-04,Nahumkeag,Inbound,290.00,Bark
1855-09-07,John,Inbound,8.00,Schooner
1855-09-07,L. P. Foster,Inbound,193.00,Schooner
1855-09-10,Leonesa,Inbound,183.00,Brig
1855-09-14,G. W. Kendall,Inbound,182.84,Brig
1855-09-14,Emilie Parker,Inbound,16.25,Schooner
1855-09-15,Otter,Inbound,140.00,Steamer
1855-09-15,A. Y. Trask,Inbound,22.89,Schooner
1855-09-16,Nahumkeag,Inbound,290.00,Bark
1855-09-19,R. B. Potter,Inbound,71.00,Schooner
1855-09-20,Otter,Inbound,140.00,Steamer
1855-09-20,Chalcedoney,Inbound,207.00,Bark
1855-09-21,Live Yankee,Inbound,427.87,Bark
1855-09-22,A. Y. Trask,Inbound,22.89,Schooner
1855-09-22,Emilie Parker,Inbound,14.25,Schooner
1855-09-24,L. P. Foster,Inbound,193.00,Schooner
1855-09-25,Leonesa,Inbound,183.52,Bark
1855-09-29,R. B. Potter,Inbound,71.00,Schooner
1855-10-01,Ariana,Inbound,614.93,Bark
1855-10-05,Lizzie Jarvis,Inbound,500.00,Ship
1855-10-08,S. J. Joseph,Inbound,647.00,Ship
1855-10-08,Tarquina,Inbound,210.41,Brig
1855-10-11,Emilie Parker,Inbound,16.25,Schooner
1855-10-12,Brontes,Inbound,250.00,Bark
1855-10-14,Ella Frances,Inbound,328.00,Bark
1855-10-16,Consort,Inbound,225.02,Brig
1855-10-16,Willamantie,Inbound,171.07,Schooner
1855-10-16,Chalcedoney,Inbound,201.00,Bark
1855-10-17,Emilie Parker,Inbound,16.25,Schooner
1855-10-21,Kaluna,Inbound,149.00,Schooner
1855-10-29,Sarah Stone,Inbound,7.00,Sloop
1855-10-30,Emilie Parker,Inbound,16.25,Schooner
1855-11-02,San Diego,Inbound,55.96,Schooner
1855-11-05,Louisiana,Inbound,248.00,Schooner
1855-11-05,Kaluna,Inbound,149.00,Schooner
1855-11-05,Rob Roy,Inbound,43.00,
1855-11-06,Ella Frances,Inbound,328.00,Bark
1855-11-06,Tarquina,Inbound,210.32,Brig
1855-11-06,Emilie Parker,Inbound,16.00,Schooner
1855-11-09,Live Yankee,Inbound,428.09,Bark
1855-11-10,Brontes,Inbound,250.00,Bark
1855-11-12,Merchantman,Inbound,234.00,Brig
1855-11-12,Eclipse,Inbound,10.63,Schooner
1855-11-16,L. P. Foster,Inbound,193.00,Schooner
1855-11-19,Otter,Inbound,144.00,Steamer
1855-11-21,Emilie Parker,Inbound,16.25,Schooner
1855-11-21,Swiss Boy,Inbound,264.31,Brig
1855-11-22,Rob Roy,Inbound,43.00,Sloop
1855-11-23,Eclipse,Inbound,10.63,Schooner
1855-11-24,Otter,Inbound,144.00,Steamer
1855-11-30,Lizzie Jarvis,Inbound,500.00,Ship
1855-12-01,Amador,Inbound,614.00,Bark
1855-12-02,Ella Frances,Inbound,328.00,Bark
1855-12-03,Emilie Parker,Inbound,16.25,Schooner
1855-12-10,Sarah Stone,Inbound,7.00,Sloop
1855-12-15,San Diego,Inbound,55.75,Schooner
1855-12-18,Willamantie,Inbound,171.00,Brig
1855-12-19,L. P. Foster,Inbound,193.00,Schooner
1855-12-21,Sarah Stone,Inbound,7.00,Sloop
1855-12-22,Emilie Parker,Inbound,16.25,Schooner
1855-12-28,Beaver,Inbound,109.00,Steamer
1856-01-01,Sarah Stone,Inbound,7.00,Sloop
1856-01-07,Swiss Boy,Inbound,204.31,Brig
1856-01-09,Jenny Ford,Inbound,397.32,Bark
1856-01-11,Beaver,Inbound,109.00,Steamer
1856-01-15,Rob Roy,Inbound,43.00,Sloop
1856-01-21,Leonesa,Inbound,210.87,Bark
1856-01-26,Ork,Inbound,,Bark
1856-01-28,Carbon,Inbound,299.32,Bark
1856-01-28,Sarah Stone,Inbound,7.00,Sloop
1856-01-29,Rob Roy,Inbound,43.00,Sloop
1856-02-01,Jenny Ford,Inbound,397.32,Bark
1856-02-03,Merchantman,Inbound,234.00,Brig
1856-02-04,Emilie Parker,Inbound,16.25,Schooner
1856-02-11,John,Inbound,7.00,Schooner
1856-02-18,Emilie Parker,Inbound,16.25,Schooner
1856-02-18,Carbon,Inbound,299.32,Bark
1856-02-18,Equator,Inbound,267.00,Bark
1856-03-07,John,Inbound,,Schooner
1856-03-11,Emilie Parker,Inbound,16.25,Schooner
1856-03-15,Equator,Inbound,267.00,Bark
1856-03-19,Senator,Inbound,277.00,Bark
1856-03-21,Emilie Parker,Inbound,16.00,Schooner
1856-03-22,L. P. Foster,Inbound,193.00,Schooner
1856-03-22,Leonesa,Inbound,196.00,Bark
1856-04-04,L. P. Foster,Inbound,193.00,Schooner
1856-04-07,S. J. Joseph,Inbound,437.00,Ship
1856-04-07,Glencoe,Inbound,222.69,Brig
1856-04-10,Emilie Parker,Inbound,16.00,Schooner
1856-04-11,Leonesa,Inbound,196.00,Bark
1856-04-23,Emilie Parker,Inbound,16.25,Schooner
1856-04-23,Helen,Inbound,12.00,
1856-04-25,Glencoe,Inbound,222.69,Brig
1856-04-28,San Diego,Inbound,55.00,Schooner
1856-04-28,San Diego,Inbound,55.00,Schooner
1856-05-02,Emilie Parker,Inbound,16.25,Schooner
1856-05-02,A. Y. Trask,Inbound,22.89,Schooner
1856-05-09,Helen,Inbound,12.00,Schooner
1856-05-09,A. Y. Trask,Inbound,22.89,Schooner
1856-05-12,John,Inbound,8.00,Schooner
1856-05-13,Herald,Inbound,262.00,Ship
1856-05-13,Florence Nightingale,Inbound,464.00,Ship
1856-05-13,John,Inbound,8.00,Schooner
1856-05-16,Senator,Inbound,277.00,Bark
1856-05-29,San Diego,Inbound,55.00,Schooner
1856-05-31,Sarah Anne,Inbound,437.00,Ship
1856-06-02,Leonesa,Inbound,196.00,Bark
1856-06-02,L. P. Foster,Inbound,193.00,Schooner
1856-06-03,Emilie Parker,Inbound,16.25,Schooner
1856-06-09,Herald,Inbound,262.00,Ship
1856-06-11,Ella Frances,Inbound,328.00,Bark
1856-06-11,Cynthia,Inbound,251.00,Bark
1856-06-13,Madonna,Inbound,260.00,Bark
1856-06-17,L. P. Foster,Inbound,193.00,Schooner
1856-06-18,Otter,Inbound,144.00,Steamer
1856-06-20,Glencoe,Inbound,222.69,Brig
1856-06-21,Emilie Parker,Inbound,16.25,Schooner
1856-06-21,Florence Nightingale,Inbound,464.00,Ship
1856-07-02,Helen,Inbound,11.00,Schooner
1856-07-02,Leonesa,Inbound,196.00,Bark
1856-07-07,Emilie Parker,Inbound,16.25,Schooner
1856-07-04,Glencoe,Inbound,222.69,Brig
1856-07-09,Helen,Inbound,12.00,Schooner
1856-07-17,San Diego,Inbound,55.00,Schooner
1856-07-17,San Diego,Inbound,55.00,Schooner
1856-07-24,Emilie Parker,Inbound,16.25,Schooner
1856-08-06,Cynthia,Inbound,251.00,Bark
1856-08-06,Emilie Parker,Inbound,16.29,Schooner
1856-08-13,L. P. Foster,Inbound,193.00,Schooner
1856-08-13,Emilie Parker,Inbound,16.25,Schooner
1856-08-15,Herald,Inbound,262.00,Bark
1856-08-16,Ella Frances,Inbound,328.00,Bark
1856-08-18,Coronal Picarte,Inbound,561.00,Ship
1856-08-25,Mary Dunn,Inbound,16.89,Schooner
1856-08-29,Emilie Parker,Inbound,16.25,Schooner
1856-08-29,Emma,Inbound,17.00,Schooner
1856-09-04,Mary Dunn,Inbound,16.89,Schooner
1856-09-05,Ella Frances,Inbound,328.00,Bark
1856-09-05,Leonesa,Inbound,196.00,Bark
1856-09-05,Carbon,Inbound,299.00,Bark
1856-09-06,Colonel Ebey,Inbound,22.89,Bark
1856-09-08,Emilie Parker,Inbound,16.25,Schooner
1856-09-08,Otter,Inbound,144.00,Steamer
1856-09-09,Glencoe,Inbound,222.69,Brig
1856-09-13,Otter,Inbound,144.00,Steamer
1856-09-15,Morning Star,Inbound,30.00,Schooner
1856-09-19,Morning Star,Inbound,30.00,Schooner
1856-09-22,San Diego,Inbound,55.96,Schooner
1856-09-23,Emilie Parker,Inbound,16.25,Schooner
1856-09-23,Colonel Ebey,Inbound,20.00,Ship
1856-09-24,Wilhelmsberg,Inbound,424.00,Ship
1856-09-26,Glencoe,Inbound,222.69,Brig
1856-09-27,L. P. Foster,Inbound,193.00,Schooner
1856-09-29,Coronal Picarte,Inbound,481.00,Ship
1856-09-29,Colonel Ebey,Inbound,22.00,Sloop
1856-10-03,Emilie Parker,Inbound,16.25,Schooner
1856-07-02,Helen,Inbound,11.00,Schooner
1856-07-07,Emilie Parker,Inbound,16.25,Schooner
1856-07-17,San Diego,Inbound,55.00,Schooner
1856-08-06,Emilie Parker,Inbound,16.25,Schooner
1856-08-15,Herald,Inbound,262.00,Ship
1856-08-16,Ella Frances,Inbound,328.00,Bark
1856-08-18,Coronal Picarte,Inbound,561.00,Ship
1856-08-29,Emilie Parker,Inbound,16.25,Schooner
1856-08-29,Emma,Inbound,17.00,Schooner
1856-09-04,Mary Dunn,Inbound,16.89,Schooner
1856-09-05,Leonesa,Inbound,196.00,Bark
1856-09-05,Carbon,Inbound,299.00,Bark
1856-09-08,Otter,Inbound,144.00,Steamer
1856-09-09,Glencoe,Inbound,222.69,Brig
1856-09-19,Morning Star,Inbound,30.00,Schooner
1856-09-22,San Diego,Inbound,55.00,Schooner
1856-09-23,Emilie Parker,Inbound,16.25,Schooner
1856-09-23,Colonel Ebey,Inbound,20.00,Sloop
1856-09-24,Wilhelmsberg,Inbound,424.00,Ship
1856-09-27,L. P. Foster,Inbound,198.00,Schooner
1856-10-06,Kangaroo,Inbound,15.13,Steamer
1856-10-06,Colonel Ebey,Inbound,20.00,Sloop
1856-10-08,Mathias Cousens,Inbound,500.00,Ship
1856-10-20,Mercedes Montes,Inbound,615.00,Bark
1856-11-11,Otter,Inbound,144.00,Steamer
1856-11-14,Lizzie Jarvis,Inbound,273.00,Ship
1856-11-18,William and Martha,Inbound,369.00,Bark
1856-11-21,I. I. Stevens,Inbound,23.13,Schooner
1856-11-26,Helen,Inbound,6.06,Schooner
1856-11-27,Leonesa,Inbound,196.00,Bark
1856-11-29,Frances,Inbound,216.00,Bark
